"row","count.x","mfp","lc","id","milk","style","dairy_id","ounces","style2","count.y","dairy","city","state","label"
"25","25","0.0014","4.9","1025","Farmhouse Skimmed 0.1% [HWJR-25]","Skimmed","104","16","NA","104","Lone Star Milk Works","Austin","TX","Farmhouse Skimmed 0.1% [HWJR-25] (Lone Star Milk Works)"
"26","26","0.032","NA","1026","Organic Whole 3.2% [J0TP-26]","Whole","109","16","NA","109","Highland Cream Co.","Denver","CO","Organic Whole 3.2% [J0TP-26] (Highland Cream Co.)"
"27","27","0.0027","5.02","1027","Farmhouse Skimmed 0.3% [FEL6-27]","Skimmed","123","64","NA","123","Sierra Valley Dairies","Reno","NV","Farmhouse Skimmed 0.3% [FEL6-27] (Sierra Valley Dairies)"
"28","28","0.0168","4.88","1028","Local Semi Skimmed 1.7% [907I-28]","Semi Skimmed","108","32","NA","108","Riverbend Dairy","Portland","OR","Local Semi Skimmed 1.7% [907I-28] (Riverbend Dairy)"
"29","29","0.0037","4.77","1029","Pasture-Raised Skimmed 0.4% [253J-29]","Skimmed","101","128","NA","101","Green Valley Dairies","Madison","WI","Pasture-Raised Skimmed 0.4% [253J-29] (Green Valley Dairies)"
"30","30","0.0196","0.18","1030","Golden Lactose Free 2.0% [35IX-30]","Lactose Free","116","64","NA","116","Bayou Dairy","Lafayette","LA","Golden Lactose Free 2.0% [35IX-30] (Bayou Dairy)"
"31","31","0.0341","4.85","1031","Cold-Filtered A2 3.4% [4LA5-31]","A2","103","32","A2","103","Blue Ridge Dairy Co.","Asheville","NC","Cold-Filtered A2 3.4% [4LA5-31] (Blue Ridge Dairy Co.)"
"32","32","0.0327","NA","1032","Grass-Fed Whole 3.3% [LVSN-32]","Whole","109","64","NA","109","Highland Cream Co.","Denver","CO","Grass-Fed Whole 3.3% [LVSN-32] (Highland Cream Co.)"
"33","33","0.0351","5.0","1033","Country Whole 3.5% [70HP-33]","Whole","114","64","NA","114","Peach State Dairies","Savannah","GA","Country Whole 3.5% [70HP-33] (Peach State Dairies)"
"34","34","0.035","4.93","1034","Golden A2 3.5% [ZTGX-34]","A2","104","32","NA","104","Lone Star Milk Works","Austin","TX","Golden A2 3.5% [ZTGX-34] (Lone Star Milk Works)"
"35","35","0.0368","4.1","1035","Premium Goat 3.7% [PUXQ-35]","Goat","110","32","NA","110","Seaside Dairies","Portsmouth","NH","Premium Goat 3.7% [PUXQ-35] (Seaside Dairies)"
"36","36","0.0033","4.74","1036","Ultra-Fresh Skimmed 0.3% [WD8I-36]","Skimmed","124","32","NA","124","Palmetto Milk Works","Charleston","SC","Ultra-Fresh Skimmed 0.3% [WD8I-36] (Palmetto Milk Works)"
"37","37","0.0323","5.09","1037","Golden Whole 3.2% [1Q5U-37]","Whole","105","128","NA","105","Coastal Creamery","San Luis Obispo","CA","Golden Whole 3.2% [1Q5U-37] (Coastal Creamery)"
"38","38","0.0374","5.03","1038","Premium Whole 3.7% [2H2Z-38]","Whole","105","16","NA","105","Coastal Creamery","San Luis Obispo","CA","Premium Whole 3.7% [2H2Z-38] (Coastal Creamery)"
"39","39","0.0113","4.46","1039","Classic High Protein 1.1% [UL1P-39]","High Protein","104","128","High Protein","104","Lone Star Milk Works","Austin","TX","Classic High Protein 1.1% [UL1P-39] (Lone Star Milk Works)"
"40","40","0.019","4.74","1040","Classic High Protein 1.9% [JIW1-40]","High Protein","118","128","High Protein","118","Great Lakes Dairy","Cleveland","OH","Classic High Protein 1.9% [JIW1-40] (Great Lakes Dairy)"
"41","41","0.0108","NA","1041","Creamy High Protein 1.1% [LTEI-41]","High Protein","109","32","NA","109","Highland Cream Co.","Denver","CO","Creamy High Protein 1.1% [LTEI-41] (Highland Cream Co.)"
"42","42","0.0353","NA","1042","Golden Organic Whole 3.5% [P6VZ-42]","Organic Whole","114","128","NA","114","Peach State Dairies","Savannah","GA","Golden Organic Whole 3.5% [P6VZ-42] (Peach State Dairies)"
"43","43","0.0365","5.03","1043","Homestead A2 3.7% [P0TV-43]","A2","112","128","A2","112","Canyon Springs Dairy","Phoenix","AZ","Homestead A2 3.7% [P0TV-43] (Canyon Springs Dairy)"
"44","44","0.0103","4.34","1044","Organic High Protein 1.0% [OFQE-44]","High Protein","114","128","High Protein","114","Peach State Dairies","Savannah","GA","Organic High Protein 1.0% [OFQE-44] (Peach State Dairies)"
"45","45","0.0325","4.81","1045","Country Whole 3.3% [GJLQ-45]","Whole","122","128","NA","122","Atlantic Dairy","Norfolk","VA","Country Whole 3.3% [GJLQ-45] (Atlantic Dairy)"
"46","46","0.037","4.84","1046","Farmhouse A2 3.7% [B8IC-46]","A2","114","16","A2","114","Peach State Dairies","Savannah","GA","Farmhouse A2 3.7% [B8IC-46] (Peach State Dairies)"
"47","47","0.0357","4.72","1047","Dairy Pure Whole 3.6% [E8QJ-47]","Whole","107","32","NA","107","Prairie Gold Dairy","Fargo","ND","Dairy Pure Whole 3.6% [E8QJ-47] (Prairie Gold Dairy)"
"48","48","0.0189","4.68","1048","Golden Semi Skimmed 1.9% [U7U6-48]","Semi Skimmed","124","128","NA","124","Palmetto Milk Works","Charleston","SC","Golden Semi Skimmed 1.9% [U7U6-48] (Palmetto Milk Works)"
"49","49","0.018","5.02","1049","Farmhouse Semi Skimmed 1.8% [ZKY2-49]","Semi Skimmed","107","64","NA","107","Prairie Gold Dairy","Fargo","ND","Farmhouse Semi Skimmed 1.8% [ZKY2-49] (Prairie Gold Dairy)"
"50","50","0.0324","4.92","1050","Premium Organic Whole 3.2% [PRPN-50]","Organic Whole","122","32","NA","122","Atlantic Dairy","Norfolk","VA","Premium Organic Whole 3.2% [PRPN-50] (Atlantic Dairy)"
"51","51","0.0357","5.06","1051","Homestead A2 3.6% [Q3VL-51]","A2","124","16","A2","124","Palmetto Milk Works","Charleston","SC","Homestead A2 3.6% [Q3VL-51] (Palmetto Milk Works)"
"52","52","0.0323","0.11","1052","Dairy Pure Lactose Free 3.2% [MRLR-52]","Lactose Free","115","64","Lactose Free","115","Keystone Milk Co.","Harrisburg","PA","Dairy Pure Lactose Free 3.2% [MRLR-52] (Keystone Milk Co.)"
"53","53","0.0353","4.86","1053","Natural A2 3.5% [IOTI-53]","A2","120","128","NA","120","Appalachian Milk Co.","Knoxville","TN","Natural A2 3.5% [IOTI-53] (Appalachian Milk Co.)"
"54","54","0.0165","4.8","1054","Country Semi Skimmed 1.6% [XNTM-54]","Semi Skimmed","101","64","NA","101","Green Valley Dairies","Madison","WI","Country Semi Skimmed 1.6% [XNTM-54] (Green Valley Dairies)"
"55","55","0.0335","4.66","1055","Grass-Fed A2 3.4% [ET1G-55]","A2","109","128","NA","109","Highland Cream Co.","Denver","CO","Grass-Fed A2 3.4% [ET1G-55] (Highland Cream Co.)"
"56","56","0.0379","5.02","1056","Farmhouse A2 3.8% [MKZE-56]","A2","119","16","NA","119","Redwood Dairy","Santa Rosa","CA","Farmhouse A2 3.8% [MKZE-56] (Redwood Dairy)"
"57","57","0.0032","4.98","1057","Farmhouse Skimmed 0.3% [AKRM-57]","Skimmed","123","64","NA","123","Sierra Valley Dairies","Reno","NV","Farmhouse Skimmed 0.3% [AKRM-57] (Sierra Valley Dairies)"
"58","58","0.0191","4.8","1058","Ultra-Fresh Semi Skimmed 1.9% [WBFU-58]","Semi Skimmed","116","16","NA","116","Bayou Dairy","Lafayette","LA","Ultra-Fresh Semi Skimmed 1.9% [WBFU-58] (Bayou Dairy)"
"59","59","0.0372","4.57","1059","Select Goat 3.7% [SQP4-59]","Goat","104","64","NA","104","Lone Star Milk Works","Austin","TX","Select Goat 3.7% [SQP4-59] (Lone Star Milk Works)"
"60","60","0.0197","4.7","1060","Organic Semi Skimmed 2.0% [XFGC-60]","Semi Skimmed","102","128","NA","102","Sunrise Creamery","Boise","ID","Organic Semi Skimmed 2.0% [XFGC-60] (Sunrise Creamery)"
"61","61","0.0129","4.23","1061","Grass-Fed High Protein 1.3% [ZQY7-61]","High Protein","120","128","High Protein","120","Appalachian Milk Co.","Knoxville","TN","Grass-Fed High Protein 1.3% [ZQY7-61] (Appalachian Milk Co.)"
"62","62","0.0045","5.01","1062","Ultra-Fresh Skimmed 0.5% [FL0U-62]","Skimmed","108","128","NA","108","Riverbend Dairy","Portland","OR","Ultra-Fresh Skimmed 0.5% [FL0U-62] (Riverbend Dairy)"
"63","63","0.0362","NA","1063","Country A2 3.6% [RCBP-63]","A2","123","64","A2","123","Sierra Valley Dairies","Reno","NV","Country A2 3.6% [RCBP-63] (Sierra Valley Dairies)"
"64","64","0.038","4.94","1064","Cold-Filtered Whole 3.8% [B1QX-64]","Whole","108","32","NA","108","Riverbend Dairy","Portland","OR","Cold-Filtered Whole 3.8% [B1QX-64] (Riverbend Dairy)"
"65","65","0.0197","4.47","1065","Natural High Protein 2.0% [LDFO-65]","High Protein","114","64","High Protein","114","Peach State Dairies","Savannah","GA","Natural High Protein 2.0% [LDFO-65] (Peach State Dairies)"
"66","66","0.0347","NA","1066","Premium Whole 3.5% [8OS9-66]","Whole","113","128","NA","113","Evergreen Creamery","Seattle","WA","Premium Whole 3.5% [8OS9-66] (Evergreen Creamery)"
"67","67","0.0357","NA","1067","Natural Organic Whole 3.6% [BJEK-67]","Organic Whole","117","16","Organic Whole","117","Ozark Creamery","Springfield","MO","Natural Organic Whole 3.6% [BJEK-67] (Ozark Creamery)"
"68","68","0.0313","0.06","1068","Pasture-Raised Lactose Free 3.1% [OI4E-68]","Lactose Free","121","32","NA","121","Midtown Creamery","Chicago","IL","Pasture-Raised Lactose Free 3.1% [OI4E-68] (Midtown Creamery)"
"69","69","0.0351","4.74","1069","Classic A2 3.5% [9ITN-69]","A2","123","32","A2","123","Sierra Valley Dairies","Reno","NV","Classic A2 3.5% [9ITN-69] (Sierra Valley Dairies)"
"70","70","0.0354","4.57","1070","Natural Goat 3.5% [A04U-70]","Goat","109","32","NA","109","Highland Cream Co.","Denver","CO","Natural Goat 3.5% [A04U-70] (Highland Cream Co.)"
"71","71","0.034","4.98","1071","Golden Organic Whole 3.4% [759I-71]","Organic Whole","116","32","Organic Whole","116","Bayou Dairy","Lafayette","LA","Golden Organic Whole 3.4% [759I-71] (Bayou Dairy)"
"72","72","0.0339","4.84","1072","Creamy Whole 3.4% [N92X-72]","Whole","114","128","NA","114","Peach State Dairies","Savannah","GA","Creamy Whole 3.4% [N92X-72] (Peach State Dairies)"
"73","73","0.0372","5.04","1073","Creamy Organic Whole 3.7% [SQ0O-73]","Organic Whole","105","16","Organic Whole","105","Coastal Creamery","San Luis Obispo","CA","Creamy Organic Whole 3.7% [SQ0O-73] (Coastal Creamery)"
"74","74","0.0357","4.8","1074","Natural Organic Whole 3.6% [LYT8-74]","Organic Whole","109","16","NA","109","Highland Cream Co.","Denver","CO","Natural Organic Whole 3.6% [LYT8-74] (Highland Cream Co.)"
"75","75","0.038","NA","1075","Ultra-Fresh A2 3.8% [DW5P-75]","A2","108","16","A2","108","Riverbend Dairy","Portland","OR","Ultra-Fresh A2 3.8% [DW5P-75] (Riverbend Dairy)"
"76","76","0.0342","4.82","1076","Golden A2 3.4% [OYGG-76]","A2","102","32","NA","102","Sunrise Creamery","Boise","ID","Golden A2 3.4% [OYGG-76] (Sunrise Creamery)"
"77","77","0.0012","4.92","1077","Local Skimmed 0.1% [Y6QK-77]","Skimmed","119","16","NA","119","Redwood Dairy","Santa Rosa","CA","Local Skimmed 0.1% [Y6QK-77] (Redwood Dairy)"
"78","78","0.0358","4.81","1078","Homestead A2 3.6% [4HNR-78]","A2","112","128","NA","112","Canyon Springs Dairy","Phoenix","AZ","Homestead A2 3.6% [4HNR-78] (Canyon Springs Dairy)"
"79","79","0.038","4.75","1079","Farmhouse A2 3.8% [XJUY-79]","A2","119","128","A2","119","Redwood Dairy","Santa Rosa","CA","Farmhouse A2 3.8% [XJUY-79] (Redwood Dairy)"
"80","80","0.029","0.07","1080","Creamy Lactose Free 2.9% [WYZX-80]","Lactose Free","110","16","Lactose Free","110","Seaside Dairies","Portsmouth","NH","Creamy Lactose Free 2.9% [WYZX-80] (Seaside Dairies)"
"81","81","0.0339","4.82","1081","Local Whole 3.4% [0DK0-81]","Whole","121","32","NA","121","Midtown Creamery","Chicago","IL","Local Whole 3.4% [0DK0-81] (Midtown Creamery)"
"82","82","0.0352","5.06","1082","Country Organic Whole 3.5% [J3R3-82]","Organic Whole","118","16","Organic Whole","118","Great Lakes Dairy","Cleveland","OH","Country Organic Whole 3.5% [J3R3-82] (Great Lakes Dairy)"
"83","83","0.0038","NA","1083","Fresh Skimmed 0.4% [YO4U-83]","Skimmed","103","128","NA","103","Blue Ridge Dairy Co.","Asheville","NC","Fresh Skimmed 0.4% [YO4U-83] (Blue Ridge Dairy Co.)"
"84","84","0.0173","NA","1084","Homestead Semi Skimmed 1.7% [V37D-84]","Semi Skimmed","118","128","NA","118","Great Lakes Dairy","Cleveland","OH","Homestead Semi Skimmed 1.7% [V37D-84] (Great Lakes Dairy)"
"85","85","0.0375","4.71","1085","Creamy Organic Whole 3.7% [36KO-85]","Organic Whole","118","16","NA","118","Great Lakes Dairy","Cleveland","OH","Creamy Organic Whole 3.7% [36KO-85] (Great Lakes Dairy)"
"86","86","0.0112","4.23","1086","Select High Protein 1.1% [NN8Z-86]","High Protein","110","32","High Protein","110","Seaside Dairies","Portsmouth","NH","Select High Protein 1.1% [NN8Z-86] (Seaside Dairies)"
"87","87","0.0192","4.91","1087","Homestead Semi Skimmed 1.9% [KYHQ-87]","Semi Skimmed","121","64","NA","121","Midtown Creamery","Chicago","IL","Homestead Semi Skimmed 1.9% [KYHQ-87] (Midtown Creamery)"
"88","88","0.0353","5.09","1088","Premium Organic Whole 3.5% [OGE4-88]","Organic Whole","122","16","Organic Whole","122","Atlantic Dairy","Norfolk","VA","Premium Organic Whole 3.5% [OGE4-88] (Atlantic Dairy)"
"89","89","0.0323","4.77","1089","Grass-Fed Whole 3.2% [2H3T-89]","Whole","121","32","NA","121","Midtown Creamery","Chicago","IL","Grass-Fed Whole 3.2% [2H3T-89] (Midtown Creamery)"
"90","90","0.0337","5.09","1090","Creamy Whole 3.4% [T2D5-90]","Whole","105","16","NA","105","Coastal Creamery","San Luis Obispo","CA","Creamy Whole 3.4% [T2D5-90] (Coastal Creamery)"
"91","91","0.0321","4.73","1091","Dairy Pure Organic Whole 3.2% [PECQ-91]","Organic Whole","108","16","NA","108","Riverbend Dairy","Portland","OR","Dairy Pure Organic Whole 3.2% [PECQ-91] (Riverbend Dairy)"
"92","92","0.0364","5.05","1092","Golden Whole 3.6% [KXB9-92]","Whole","108","128","NA","108","Riverbend Dairy","Portland","OR","Golden Whole 3.6% [KXB9-92] (Riverbend Dairy)"
"93","93","0.0107","4.08","1093","Country High Protein 1.1% [CJWT-93]","High Protein","116","128","High Protein","116","Bayou Dairy","Lafayette","LA","Country High Protein 1.1% [CJWT-93] (Bayou Dairy)"
"94","94","0.0347","4.9","1094","Grass-Fed A2 3.5% [Z4X1-94]","A2","117","128","NA","117","Ozark Creamery","Springfield","MO","Grass-Fed A2 3.5% [Z4X1-94] (Ozark Creamery)"
"95","95","0.0354","NA","1095","Creamy Goat 3.5% [DPXN-95]","Goat","108","128","Goat","108","Riverbend Dairy","Portland","OR","Creamy Goat 3.5% [DPXN-95] (Riverbend Dairy)"
"96","96","0.0172","4.97","1096","Pasture-Raised Semi Skimmed 1.7% [EC8U-96]","Semi Skimmed","103","128","NA","103","Blue Ridge Dairy Co.","Asheville","NC","Pasture-Raised Semi Skimmed 1.7% [EC8U-96] (Blue Ridge Dairy Co.)"
"97","97","0.0391","4.53","1097","Natural Goat 3.9% [VMUH-97]","Goat","122","32","Goat","122","Atlantic Dairy","Norfolk","VA","Natural Goat 3.9% [VMUH-97] (Atlantic Dairy)"
"98","98","0.0327","NA","1098","Organic Organic Whole 3.3% [PU1W-98]","Organic Whole","112","64","NA","112","Canyon Springs Dairy","Phoenix","AZ","Organic Organic Whole 3.3% [PU1W-98] (Canyon Springs Dairy)"
"99","99","0.0375","4.78","1099","Organic A2 3.8% [FXC0-99]","A2","109","16","NA","109","Highland Cream Co.","Denver","CO","Organic A2 3.8% [FXC0-99] (Highland Cream Co.)"
"100","100","0.0359","4.3","1100","Farmhouse Goat 3.6% [Z1UD-100]","Goat","107","32","Goat","107","Prairie Gold Dairy","Fargo","ND","Farmhouse Goat 3.6% [Z1UD-100] (Prairie Gold Dairy)"
"101","101","0.036","4.74","1101","Pasture-Raised Whole 3.6% [RPJ1-101]","Whole","120","64","NA","120","Appalachian Milk Co.","Knoxville","TN","Pasture-Raised Whole 3.6% [RPJ1-101] (Appalachian Milk Co.)"
"102","102","0.0153","4.31","1102","Creamy High Protein 1.5% [9BH8-102]","High Protein","110","64","NA","110","Seaside Dairies","Portsmouth","NH","Creamy High Protein 1.5% [9BH8-102] (Seaside Dairies)"
"103","103","0.035","4.82","1103","Dairy Pure Whole 3.5% [TIUY-103]","Whole","104","16","NA","104","Lone Star Milk Works","Austin","TX","Dairy Pure Whole 3.5% [TIUY-103] (Lone Star Milk Works)"
"104","104","0.0346","4.83","1104","Ultra-Fresh Whole 3.5% [LPOX-104]","Whole","124","16","NA","124","Palmetto Milk Works","Charleston","SC","Ultra-Fresh Whole 3.5% [LPOX-104] (Palmetto Milk Works)"
"105","105","0.004","4.91","1105","Golden Skimmed 0.4% [7D4I-105]","Skimmed","111","16","NA","111","Heartland Milk Co.","Des Moines","IA","Golden Skimmed 0.4% [7D4I-105] (Heartland Milk Co.)"
"106","106","0.0333","4.99","1106","Dairy Pure Organic Whole 3.3% [WTG1-106]","Organic Whole","110","32","NA","110","Seaside Dairies","Portsmouth","NH","Dairy Pure Organic Whole 3.3% [WTG1-106] (Seaside Dairies)"
"107","107","0.0332","4.9","1107","Premium A2 3.3% [XG1R-107]","A2","105","64","A2","105","Coastal Creamery","San Luis Obispo","CA","Premium A2 3.3% [XG1R-107] (Coastal Creamery)"
"108","108","0.0329","4.63","1108","Ultra-Fresh Organic Whole 3.3% [KJCS-108]","Organic Whole","121","128","Organic Whole","121","Midtown Creamery","Chicago","IL","Ultra-Fresh Organic Whole 3.3% [KJCS-108] (Midtown Creamery)"
"109","109","0.037","4.64","1109","Farmhouse Organic Whole 3.7% [4WSQ-109]","Organic Whole","102","128","Organic Whole","102","Sunrise Creamery","Boise","ID","Farmhouse Organic Whole 3.7% [4WSQ-109] (Sunrise Creamery)"
"110","110","0.0224","NA","1110","Fresh Lactose Free 2.2% [CD6M-110]","Lactose Free","119","32","NA","119","Redwood Dairy","Santa Rosa","CA","Fresh Lactose Free 2.2% [CD6M-110] (Redwood Dairy)"
"111","111","0.0199","NA","1111","Farmhouse High Protein 2.0% [N7N1-111]","High Protein","123","64","High Protein","123","Sierra Valley Dairies","Reno","NV","Farmhouse High Protein 2.0% [N7N1-111] (Sierra Valley Dairies)"
"112","112","0.035","4.53","1112","Creamy Goat 3.5% [65MU-112]","Goat","104","64","Goat","104","Lone Star Milk Works","Austin","TX","Creamy Goat 3.5% [65MU-112] (Lone Star Milk Works)"
"113","113","0.0339","4.53","1113","Classic Goat 3.4% [UXLE-113]","Goat","121","16","NA","121","Midtown Creamery","Chicago","IL","Classic Goat 3.4% [UXLE-113] (Midtown Creamery)"
"114","114","0.0321","4.75","1114","Creamy Organic Whole 3.2% [M1G9-114]","Organic Whole","114","16","Organic Whole","114","Peach State Dairies","Savannah","GA","Creamy Organic Whole 3.2% [M1G9-114] (Peach State Dairies)"
"115","115","0.036","NA","1115","Local Whole 3.6% [VFGY-115]","Whole","104","128","NA","104","Lone Star Milk Works","Austin","TX","Local Whole 3.6% [VFGY-115] (Lone Star Milk Works)"
"116","116","0.0373","0.12","1116","Natural Lactose Free 3.7% [2II8-116]","Lactose Free","112","32","Lactose Free","112","Canyon Springs Dairy","Phoenix","AZ","Natural Lactose Free 3.7% [2II8-116] (Canyon Springs Dairy)"
"117","117","0.0146","NA","1117","Creamy High Protein 1.5% [S832-117]","High Protein","119","64","High Protein","119","Redwood Dairy","Santa Rosa","CA","Creamy High Protein 1.5% [S832-117] (Redwood Dairy)"
"118","118","0.0353","4.65","1118","Classic Organic Whole 3.5% [4K1J-118]","Organic Whole","116","32","Organic Whole","116","Bayou Dairy","Lafayette","LA","Classic Organic Whole 3.5% [4K1J-118] (Bayou Dairy)"
"119","119","0.0338","0.18","1119","Fresh Lactose Free 3.4% [OONN-119]","Lactose Free","103","64","Lactose Free","103","Blue Ridge Dairy Co.","Asheville","NC","Fresh Lactose Free 3.4% [OONN-119] (Blue Ridge Dairy Co.)"
"120","120","0.0192","4.92","1120","Creamy Semi Skimmed 1.9% [EK3Z-120]","Semi Skimmed","111","128","NA","111","Heartland Milk Co.","Des Moines","IA","Creamy Semi Skimmed 1.9% [EK3Z-120] (Heartland Milk Co.)"
"121","121","0.0151","4.71","1121","Homestead Semi Skimmed 1.5% [7VP1-121]","Semi Skimmed","101","64","NA","101","Green Valley Dairies","Madison","WI","Homestead Semi Skimmed 1.5% [7VP1-121] (Green Valley Dairies)"
"122","122","0.0375","4.47","1122","Homestead Goat 3.7% [4RTW-122]","Goat","108","32","NA","108","Riverbend Dairy","Portland","OR","Homestead Goat 3.7% [4RTW-122] (Riverbend Dairy)"
"123","123","0.0334","4.81","1123","Classic Organic Whole 3.3% [D9CS-123]","Organic Whole","101","16","Organic Whole","101","Green Valley Dairies","Madison","WI","Classic Organic Whole 3.3% [D9CS-123] (Green Valley Dairies)"
"124","124","0.0358","5.09","1124","Pasture-Raised Whole 3.6% [A2M0-124]","Whole","116","64","NA","116","Bayou Dairy","Lafayette","LA","Pasture-Raised Whole 3.6% [A2M0-124] (Bayou Dairy)"
"125","125","0.0369","NA","1125","Fresh Organic Whole 3.7% [QZW3-125]","Organic Whole","112","128","Organic Whole","112","Canyon Springs Dairy","Phoenix","AZ","Fresh Organic Whole 3.7% [QZW3-125] (Canyon Springs Dairy)"
"126","126","0.0367","5.04","1126","Farmhouse Whole 3.7% [LO3R-126]","Whole","107","32","NA","107","Prairie Gold Dairy","Fargo","ND","Farmhouse Whole 3.7% [LO3R-126] (Prairie Gold Dairy)"
"127","127","0.0372","4.77","1127","Golden Whole 3.7% [N606-127]","Whole","125","64","NA","125","Garden State Dairies","Trenton","NJ","Golden Whole 3.7% [N606-127] (Garden State Dairies)"
